8494057,CVE-2014-8159,drivers/infiniband/core/umem.c,ib_umem_get,,,,,,,,,,
af6fc85,CVE-2015-2150,drivers/xen/xen-pciback/conf_space.c,,,,,,,,,,,
af6fc85,CVE-2015-2150,drivers/xen/xen-pciback/conf_space.h,,,,,,,,,,,
af6fc85,CVE-2015-2150,drivers/xen/xen-pciback/conf_space_header.c,command_read,command_init,command_write,,,,,,,,
4e7c22d,CVE-2015-1593,arch/x86/mm/mmap.c,stack_maxrandom_size,,,,,,,,,,
4e7c22d,CVE-2015-1593,fs/binfmt_elf.c,randomize_stack_top,,,,,,,,,,
f374737,CVE-2015-0239,arch/x86/kvm/emulate.c,em_sysenter,,,,,,,,,,
63ea0a4,CVE-2014-8480,arch/x86/kvm/emulate.c,,,,,,,,,,,
a3a8784,CVE-2014-9529,security/keys/gc.c,key_gc_unused_keys,,,,,,,,,,
29fa682,CVE-2014-8134,arch/x86/kernel/kvm.c,paravirt_ops_setup,,,,,,,,,,
29fa682,CVE-2014-8134,arch/x86/kernel/kvmclock.c,kvmclock_init,,,,,,,,,,
f95d791,CVE-2014-8989,kernel/user_namespace.c,new_idmap_permitted,,,,,,,,,,
80dd00a,CVE-2014-8989,kernel/user_namespace.c,new_idmap_permitted,,,,,,,,,,
be7c6db,CVE-2014-8989,kernel/user_namespace.c,new_idmap_permitted,,,,,,,,,,
273d2c6,CVE-2014-8989,include/linux/user_namespace.h,userns_may_setgroups,,,,,,,,,,
273d2c6,CVE-2014-8989,kernel/groups.c,may_setgroups,,,,,,,,,,
273d2c6,CVE-2014-8989,kernel/user_namespace.c,userns_may_setgroups,,,,,,,,,,
0542f17,CVE-2014-8989,kernel/user_namespace.c,new_idmap_permitted,,,,,,,,,,
45c3094,CVE-2013-6376,arch/x86/kvm/lapic.c,recalculate_apic_map,kvm_irq_delivery_to_apic_fast,,,,,,,,,
45c3094,CVE-2013-6376,arch/x86/kvm/lapic.h,apic_cluster_id,,,,,,,,,,
3d32e4d,CVE-2014-3601,virt/kvm/iommu.c,kvm_pin_pages,kvm_iommu_map_pages,,,,,,,,,
3f6f1480,CVE-2014-8480,arch/x86/kvm/emulate.c,,,,,,,,,,,
a430c91,CVE-2014-8481,arch/x86/kvm/emulate.c,x86_decode_insn,,,,,,,,,,
a642fc3,CVE-2014-3646,arch/x86/include/uapi/asm/vmx.h,,,,,,,,,,,
a642fc3,CVE-2014-3646,arch/x86/kvm/vmx.c,handle_invvpid,nested_vmx_exit_handled,,,,,,,,,
d1442d8,CVE-2014-3647,arch/x86/kvm/emulate.c,__load_segment_descriptor,load_segment_descriptor,em_jmp_far,em_ret_far,load_state_from_tss16,load_state_from_tss32,em_call_far,,,,
234f3ce,CVE-2014-3647,arch/x86/kvm/emulate.c,assign_eip_far,assign_eip_near,jmp_rel,em_grp45,em_ret,em_sysexit,em_call,em_ret_near_imm,em_loop,em_jcxz,em_in
2febc83,CVE-2014-3611,arch/x86/kvm/i8254.c,__kvm_migrate_pit_timer,,,,,,,,,,
854e8bb,CVE-2014-3610,arch/x86/include/asm/kvm_host.h,get_canonical,is_noncanonical_address,,,,,,,,,
854e8bb,CVE-2014-3610,arch/x86/kvm/svm.c,wrmsr_interception,,,,,,,,,,
854e8bb,CVE-2014-3610,arch/x86/kvm/vmx.c,handle_wrmsr,,,,,,,,,,
854e8bb,CVE-2014-3610,arch/x86/kvm/x86.c,kvm_set_msr,,,,,,,,,,
0d08260,CVE-2014-7970,fs/namespace.c,SYSCALL_DEFINE2,,,,,,,,,,
a1480dc,CVE-2014-7975,fs/namespace.c,do_umount,,,,,,,,,,
95389b0,CVE-2014-3631,lib/assoc_array.c,assoc_array_gc,,,,,,,,,,
350b8bd,CVE-2014-3601,virt/kvm/iommu.c,kvm_unpin_pages,kvm_iommu_map_pages,,,,,,,,,
fb21b84e,CVE-2014-4508,arch/x86/kernel/entry_32.S,,,,,,,,,,,
8e205f7,CVE-2014-4171,mm/shmem.c,shmem_writepage,shmem_fault,shmem_fallocate,,,,,,,,
