CVE;Commit;Parent;File;Modified Lines
CVE-2004-1073;1fb844961818;c20086de9319ac406f1e96ad459763c9f9965b18;fs/binfmt_elf.c;685-685
CVE-2004-1073;1fb844961818;c20086de9319ac406f1e96ad459763c9f9965b18;fs/binfmt_elf_fdpic.c;237-237
CVE-2005-0504;a2f72982e22b;83ae1b79c898838e16ac8cde69b39d22d36fb035;drivers/char/moxa.c;1585-1585
CVE-2005-0504;a2f72982e22b;83ae1b79c898838e16ac8cde69b39d22d36fb035;drivers/char/moxa.c;2532-2532
CVE-2005-0504;a2f72982e22b;83ae1b79c898838e16ac8cde69b39d22d36fb035;drivers/char/moxa.c;2579-2579
CVE-2005-0504;a2f72982e22b;83ae1b79c898838e16ac8cde69b39d22d36fb035;drivers/char/moxa.c;2599-2599
CVE-2005-1761;4ea78729b8dbfc400fe165a57b90a394a7275a54;7b404b3459db1326bbdc7085edb1f58b98da5826;arch/ia64/kernel/ptrace.c;948-948
CVE-2005-1761;4ea78729b8dbfc400fe165a57b90a394a7275a54;7b404b3459db1326bbdc7085edb1f58b98da5826;arch/ia64/kernel/ptrace.c;999-1001
CVE-2005-1761;4ea78729b8dbfc400fe165a57b90a394a7275a54;7b404b3459db1326bbdc7085edb1f58b98da5826;arch/ia64/kernel/ptrace.c;1237-1237
CVE-2005-1761;4ea78729b8dbfc400fe165a57b90a394a7275a54;7b404b3459db1326bbdc7085edb1f58b98da5826;arch/ia64/kernel/ptrace.c;1270-1270
CVE-2005-1761;4ea78729b8dbfc400fe165a57b90a394a7275a54;7b404b3459db1326bbdc7085edb1f58b98da5826;arch/ia64/kernel/ptrace.c;1368-1368
CVE-2005-1761;4ea78729b8dbfc400fe165a57b90a394a7275a54;7b404b3459db1326bbdc7085edb1f58b98da5826;arch/ia64/kernel/signal.c;97-97
CVE-2005-1761;4ea78729b8dbfc400fe165a57b90a394a7275a54;7b404b3459db1326bbdc7085edb1f58b98da5826;arch/ia64/kernel/signal.c;109-109
CVE-2005-2456;a4f1bac62564049ea4718c4624b0fadc9f597c84;cadf01c2fc0cd66dfef4956ef1a6482ed01c3150;net/xfrm/xfrm_user.c;1353-1353
CVE-2005-2555;6fc0b4a7a73a81e74d0004732df358f4f9975be2;534afb90a9cd0b9643f62d660c164e1d924f39cf;net/ipv4/ip_sockglue.c;851-851
CVE-2005-2555;6fc0b4a7a73a81e74d0004732df358f4f9975be2;534afb90a9cd0b9643f62d660c164e1d924f39cf;net/ipv6/ipv6_sockglue.c;507-507
CVE-2005-2617;9fb1759a3102c26cd8f64254a7c3e532782c2bb8;d6e1860312cd8c33ad1f17d1af22fb6aa1f2cf83;arch/x86_64/ia32/syscall32.c;60-60
CVE-2005-2617;9fb1759a3102c26cd8f64254a7c3e532782c2bb8;d6e1860312cd8c33ad1f17d1af22fb6aa1f2cf83;arch/x86_64/ia32/syscall32.c;81-81
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;arch/s390/appldata/appldata_base.c;595-600
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;include/linux/proc_fs.h;69-69
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;include/linux/sysctl.h;27-27
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;include/linux/sysctl.h;928-928
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;172-172
CVE-2005-2709;330d57fb98a9;8546df6f357dadf1989ad8da9309c9524fd56cdf;kernel/sysctl.c;995-995
